Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,USA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,8794138409420.54,9087323150609.16,9349459329790.41,9734670026188.77,10404890989299,11068418255750.9,11852135464350.7,12207641597201.4,12214101693747.1,12009894039948.5,12722091661665.9,13296413540065.9,14049366650049.1,14448714729140.7,15165776173714.4,15741217552602.7,16012842178567.7,16734705033537.7,17602894205765.3,18261844597577.2,17860069690350.5,19593000990250.4,..,..
Ukraine,UKR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,24188073480.1621,29930554398.1484,33584337981.7589,39634950208.2665,52313174098.058,70830407998.0332,88596812710.1477,120138769873.248,151435415353.639,94270899905.2274,113182037020.432,134802493092.119,155027862042.205,160262796127.738,114008561197.867,82933027873.4708,81506683250.4513,99432791110.6306,115101330285.145,135932035529.804,138470185672.587,163914375539.316,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 11/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
